Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
Uncle Willy,,noun,,(a) silly (person),rhyming slang,,,[none],,[none],,,
unclean,,adjective,,(of grazing country) infected with scab,[none],,,[none],,[none],clean,,1912 Booth Five Years in NZ 28 (cited in DNZE at clean)
unco,,adjective,,"awkward; clumsy, inept",[none],informal,,[none],,[none],,,also as noun; an abbreviation of uncoordinated; 1984 14 F E126 Wgton Girls C. 1 UNC [a silly person] -->1984 16 F E29 Pakuranga Coll. 1 UNCO [F16-17 7] -->1984 16 F E29 Pakuranga Coll. 7 UNCO [something not good] -->1984 16 F E29 Pakuranga Coll. 10 UNCO [useless person/thing F3] -->1984 16 F E30 Pakuranga Coll. 2 UNCO [a mad person] -->1984 14 F E127 Wgton Girls C. 10 UNCO (UNCO-ORDINATED) -->1984 14 F E137 Wgton Girls C. 1 UNCO (UNCOORDINATED) MOLE [F 2]
unconformable,,adjective,,,,,,[none],,[none],,,
uncovenant,,verb,1,to free land from a protective covenant.,[none],,,Rural,Farm Words,[none],,,
uncrowdedness,,noun,,lack of people,,,,[none],,[none],,,
Uncrowned King of NZ,,phrase,,"James Roberts (1881- ) -->Mr James (`Big Jim') Roberts, when he was President of the Labour Party, and also President of the Federation of Labour",,,,[none],,[none],,,"James Roberts, ""The Uncrowned King of New Zealand"" lived 1881-1967"
uncrutched,,adjective,1,[of sheep] with unshorn rear ends or bellies.,[none],,,Rural,Farm Words,[none],,,
undagged,,adjective,,,[none],,,[none],,[none],,,
Undaria,,noun,,"The invasive Japanese seaweed, <i>Undaria</i> sp.; should be possible to get earlier cites from 1987.",,,,[none],,[none],,,"Dr Cameron Hay and Dr Penny Luckens (the last, from memory discovered it first in Wellington Harbour in a routine survey), came to me in some excitement about it when it was first discovered here."
under,,noun,,,,,,[none],,[none],,,
under and over,,noun,,a gambling game,[none],,,[none],,[none],,,
under below,,exclamation,,a warning call on the wharves when working cargo,,,,[none],,[none],,,
under below,,exclamation,2,a bushman's warning call (? Northland) `timber'. bushmen's call (? Northland) in bushfelling - usually as a warning of beginning of a drive,,,,[none],,[none],,,
under command,,phrase,,"of sheepdogs, obedient",,,,[none],,[none],,,(station)
under crop,,phrase,,being cropped,,,,[none],,[none],,,
under the hook,,phrase,,working on the wharf,[none],,,[none],,[none],,,
under the lap,,noun,,"privately, on the sly.",,,,[none],,[none],,,ca1941-45 Prison RC. e.g. Prisoners speak of getting information or forbidden luxuries `under the lap'; and also attrib get under-the-lap information -->P: from B 1842
under the Southern Cross,,phrase,,,,,,[none],,[none],,,
under the top,,phrase,1,[mustering] a position or beat taken by the second beat man.,[none],,,Rural,Farm Words,[none],,,
under water,,phrase,1,[of farmland] irrigated.,[none],,,Rural,Farm Words,[none],,,
under-boss,,noun,,a warder other than the chief warder,,,,[none],,[none],,,"(borstal obs) cf BOSS as a name for masters in boarding schools, e.g. St Patrick's College, Silverstream)"
under-run,,noun,1,"a tomo or underground tunnel, a hazard to stock.",[none],,,Rural,Farm Words,[none],under-runner,,also underrun
under-run,,noun,,,,,,[none],,[none],,,
under-runner,,noun,,,,,,[none],Farm Words,[none],,,
under-runner country,,noun,1,land that contains underground streams or tomos.,[none],,,Rural,Farm Words,[none],,,
under-runner,,adjective,,,[none],,,[none],,[none],,,
under-runner,,noun,1,an underground stream or tomo.,[none],,,Rural,Farm Words,[none],,,incl rabbit warrens
underager,,noun,,an underage drinker,[none],,,[none],,[none],,,
underarm,,adjective,,"underhand, unprincipled [alluding to a one-day international cricket match in 1981 in which an Australian player bowled the last ball underarm along the ground to prevent New Zealand scoring a six to win the game]",[none],informal,,[none],,[none],,,see also citation in Wilkes 5th ed.
underbrush,,noun,,"=UNDERSCRUB, undergrowth, underbrush, ?scrub",[none],,,[none],,[none],,,
underbush,,noun,,,,,,[none],,[none],underbrush,,
underbush,,noun,1,an undergrowth of small shrubs and fern beneath native forest trees.,[none],,,Rural,Farm Words,[none],,,aka under bush
undercanstumble,,noun,,,,,,[none],,[none],,,
undercard,,noun,,supporting programme,,,,[none],,[none],,,
undercoat,,noun,,fillet steak,,,,[none],,[none],,,freezing works
undercook,,verb,,,,,,[none],,[none],overcook,,
undercutting,,noun,,underscrubbing of bush.,[none],,,Rural,Farm Words,[none],bush drive; Taranaki drive,,
underdaks,,noun,,underpants,,,,[none],,[none],,,
underdone,,adjective,1,[of farm stock] poorly treated or maintained.,[none],,,Rural,Farm Words,[none],,,
underdungas,,noun,,,,,,[none],,[none],underdungers,,
underdungers,,noun,,underwear,,,,[none],,[none],,,
underground mutton,,noun,,rabbit,[none],,,[none],,[none],,,
underground mutton,,noun,1,rabbit,[none],,,Rural,Farm Words,[none],,,
undergrowth,,noun,,,,,,[none],,[none],,,
underhand chop,,noun,,,[none],,,[none],,[none],,,(axemen's) contrast STANDING (?UPRIGHT) CHOP
underlayer,,noun,1,a frozen layer beneath a fresh fall of snow that can cause a high country avalanche.,[none],,,Rural,Farm Words,[none],,,
underlie,,noun,,,,,,[none],,[none],,,
undernoised,,adjective,1,[of huntaway sheepdogs] without an effective bark.,[none],,,Rural,Farm Words,[none],,,
Underpanter,,noun,,participant in the Undie 500,[none],,,[none],,[none],"Undie Five-Hundy, Undie 500",,
underscrub,,noun,1,a shrubby growth beneath the upper canopy of trees in NZ bush that may quickly self-seed as secondary growth. [often used for cattle feed.],[none],,,Rural,Farm Words,[none],,,aka under-scrub
underscrub,,verb,,to clear undergrowth from beneath taller trees.,[none],,,Rural,Farm Words,[none],,,
underscrub,,noun,,,[none],,,[none],,[none],,,
underscrubber,,noun,,one who clears underscrub,,,,[none],,[none],,,
underscrubbing,,noun,,,[none],,,[none],,[none],,,
underscrubbing,,noun,,"the removing of scrub undergrowth, usually before but occ. after large tree canopy has been logged from bushlands.",[none],,,Rural,Farm Words,[none],,,
underskilling,,noun,,,,,,[none],,[none],,,
understorey,,noun,,undergrowth,,,,[none],,[none],,,
understrapper,,noun,,,,,,[none],,[none],,,
underviewer,,noun,,,,,,[none],,[none],,,coalminers'
underwood,,noun,,,,,,[none],,[none],,,"cf brush, scrub etc."
Undie 500,,noun,,500 m sprint race where participants wear underwear only,[none],,,[none],,[none],Undie Five-Hundy,,used Austral. and UK also
Undie Five-Hundy,,noun,,,[none],,,[none],,[none],Undie 500,,
undipped,,adjective,1,"[of sheep] untreated for lice, scab etc.",[none],,,Rural,Farm Words,[none],,,
undone,,noun,,to get arrested; caught committing a crime,,,,[none],,[none],"UNSTUCK, COME",,criminal slang
undress,,verb,1,to shear a sheep.,[none],,,Rural,Farm Words,[none],,,
Undy 500,,noun,,an annual race event featuring runners in their underwear,[none],,,[none],,[none],,,
Unemployment Board,,noun,,,[none],historical,,[none],,[none],,,
Unemployment Fund,,noun,,,[none],historical,,[none],,[none],,,
unfavourable country,,noun,,,[none],,,[none],,[none],cf favourable country,,miners'
unfinancial,,adjective,,insolvent,,,,[none],,[none],financial,,
unfinished,,adjective,1,[of stock] not primed or ready for slaughter or sale.,[none],,,Rural,Farm Words,[none],,,
"unfortunate experiment, the",,phrase,,see cits,[none],,,[none],,[none],,,
uni,,noun,,university,[none],,,[none],,[none],,,"An Australian (?)term which has replaced ""Varsity"", at least in Wellington, since the 1950s"
uni,,noun,2,,,,,[none],,[none],,,whalers'
unicorn team,,noun,,,[none],,,[none],,[none],,,
unicorn-fish,,noun,,,,,,[none],,[none],,,
unimproved,,adjective,,,,,,[none],,[none],,,sc. land
union shed,,noun,,,[none],,,[none],,[none],,,contrast OPEN SHED
union-bashing,,noun,,,[none],,,[none],,[none],,,
unionise,,verb,,register a civil union partnership,[none],,,[none],,[none],"civil unionise, civil-ise",,
UniQ,,noun,,the Queer Students Association at New Zealand universities; the Victoria University students' gay and lesbian representative group.,[none],,,[none],,[none],,as 'unique' or 'uni-queue'?,
unit,,noun,1,a single farming property.,[none],,,Rural,Farm Words,[none],one man unit,,
unit,,noun,,"a stock carrier, consisting a truck or a truck and trailer.",[none],,,Rural,Farm Words,[none],one man unit,,
unit,,noun,,an electric fence system.,[none],,,Rural,Farm Words,[none],one man unit,,
unit,,noun,3,,[none],,,[none],,[none],,,"housing; flat, motel, etc"
unit,,noun,2,,[none],,,[none],,[none],,,health care
