Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
curly grass,,noun,,,[none],,,[none],,[none],grass,,
curly mo,,adjective,,"all right, fine",[none],,,[none],,[none],,,
curly one,,noun,,"difficulty, quandary",[none],,,[none],,[none],,,
curly-dwarf,,noun,1,a viral disease of commercial potato crops.,[none],,,Rural,Farm Words,[none],,,
Curnow's curse,,noun,,"<i>Calandrinia</i> spp., a local noxious weed.",[none],,,[none],,[none],,,
currant,,noun,,"wineberry, from the resemblance of its berries to red or black currants",,,,[none],,[none],,,
currant bun,,noun,,a son,[none],,,[none],,[none],,,
currant bun,,noun,2,the sun,[none],,,[none],,[none],,,
currant cake,,adjective,,awake,[none],,,[none],,[none],,,rhyming slang
currant,,noun,2,,,,,[none],,[none],,,
currant,,noun,2,"<i>Aristotelia fruticosa</i>, a mountain shrub; mountain wineberry",,,,[none],,[none],,,
currant,,noun,2,,,,,[none],,[none],,,
currant,,noun,2,,,,,[none],,[none],,,"NZ Currant 1898 HMB 1906 TIC (Andersen, 3 entries)"
currant tree,,noun,,"wineberry, <i>Aristotelia racemosa</i>",[none],,,[none],,[none],also currant,,
currency,,noun,,"privately issued local notes of exchange discounted against sterling, also colonial currency",,,,[none],,[none],,,
currency lad,,noun,,the term for a native-born non-Aboriginal Australian is recorded from NZ from c1840. --,[none],,,[none],,[none],,,also currency lass
current retrenchment,,phrase,,,[none],,,[none],,[none],,,
Currie boy,,noun,,,[none],,,[none],,[none],,,
curry,,noun,,an Indian,[none],offensive,,[none],,[none],also curry-muncher,,
curry,2,noun,,violence; fighting; heat; esp. give someone curry,,,,[none],,[none],,,
Curry Te Kanawa,,noun,,a dish punning on the name of Kiri Te Kanawa,[none],humorous,,[none],,[none],,,
curry-muncher,,noun,,an Indian,[none],offensive,,[none],,[none],also curry,,
curtain raiser,,noun,,a (football) game played immediately before a major fixture,[none],,,[none],,[none],,,ca1960 NZ
curved board,,noun,1,a design of woolshed.,[none],,,Rural,Farm Words,[none],,,
cushion flower,,noun,,a variety of hakea,[none],,,[none],,[none],,,
cushion plant,,noun,2,,[none],,,[none],,[none],,,
cushy-doe,,noun,,,,,,[none],,[none],,,
custard square,,noun,,,[none],,,[none],,[none],,,
custie,,noun,,customer,abbreviation,informal,,[none],,[none],,,
customary fishing rights,,noun,,,[none],,,[none],,[none],,,
customary interest(s),,noun,,,[none],,,[none],,[none],,,
customary land,,noun,,,[none],,,[none],,[none],,,
customary rights,,noun,,,[none],,,[none],,[none],,,
customary title,,noun,,,[none],,,[none],,[none],,,
customary use,,noun,,,[none],,,[none],,[none],,,
customwood,,noun,,"a type of fibreboard, in common use by builders, tradesmen, and handymen",,,,[none],,[none],,,"Jim writes: Proprietary (Carter Holt Harvey) but used in the same way as gibraltar board, pink batts. An informant tells me the word is not known in England."
cut,,adjective,,drunk,,,,[none],Farm Words,[none],,,
cut (out) the rough stuff,,phrase,,"usu. as an exclam. or command, perhaps an alteration of 'cut it out', to stop doing or saying something rough or offensive",[none],,,[none],,[none],also cut the rough,,
cut and tail,,verb,,usu. collocated as two farming jobs undertaken at the same time; see also cutting and tailing.,,,,[none],,[none],,,
cut dags,,phrase,,to remove encrusted faeces from sheep rear ends.,[none],,,Rural,Farm Words,[none],,,
cut,1,verb,,to clear (a line),,,,[none],,[none],,,
cut,,noun,,a style of shearing,[none],,,[none],,[none],,,
cut,,noun,,a share (general English?),[none],,,[none],,[none],,,
cut,,noun,,strip (of grass),[none],,,[none],,[none],,,
cut,,verb,,(of a sheep) to produce wool (from a shearing),[none],,,[none],,[none],-,,
cut,,verb,,(of a farmer) to produce (wool) by shearing,[none],,,[none],,[none],,,
cut,3,verb,2,to shear more than (another shearer); to outshear.,,,,[none],,[none],,,
cut,3,verb,3,to cut (a sheep's skin) by rough shearing,,,,[none],,[none],,,
cut,,adjective,,"often of liquor, finished, cut out",[none],,,[none],,[none],cut v.,,
cut,,noun,1,"a part of a mob, usually of sheep.",[none],,,Rural,Farm Words,[none],,,
cut,,verb,,[sheep] to produce wool for shearing.,[none],,,Rural,Farm Words,[none],,,
cut,2,verb,,to cease doing,,,,[none],,[none],,,
cut,,verb,,"to finish (off), empty, use up",[none],,,[none],,[none],also cut out,,
cut,,noun,,(mining term) see cit.,[none],,,[none],,[none],,,
cut,,noun,,"early European alteration of Ma. kati (W.103, 4n. <i>Barrier, boundary, pale</i>) used in the expression put a cut on (sthg).",[none],,,[none],,[none],cf. aukati,,
cut,1,noun,,"esp. take a cut (of a mob, etc.), a mob of sheep or cattle `cut out' or detached from the main mob for usu. some purpose,",,,,[none],,[none],also cut out,,
cut,,noun,,"a go, a try (in phrase have a cut at) (? from card games).",[none],,,[none],,[none],,,
cut,,noun,,"a character, a dag.",[none],,,[none],,[none],,,
cut,,noun,7,a job as a shearer,,,,[none],,[none],,,
cut in,,verb,,to begin shearing.,[none],,,Rural,Farm Words,[none],,,
cut in,,verb,,to make cuts in blubber of a whale; to strip blubber from a whale.,,,,[none],,[none],,,
cut lunch,,noun,,sandwiches and other snacks to be eaten elsewhere than at home or at a formal eating-place.,[none],,,[none],,[none],,,
cut off my penis and call me Venus,,exclamation,,an expression of surprise,[none],,,[none],,[none],,,(? 1930)-
cut off the horn,,phrase,,said of tough beef,[none],,,[none],,[none],,,
cut one's strings,,phrase,,,[none],,,[none],,[none],,,
cut out,,verb,,(forestry),[none],,,[none],,[none],,,
cut out,,noun,1,"completion time, particularly in shearing, sheep yard and bush work.",[none],,,Rural,Farm Words,[none],cut-out,,
cut out,,verb,1,"to complete work, particularly of shearing, sheep yard and bush work.",[none],,,Rural,Farm Words,[none],,,
cut out,,verb,2,"to separate an animal or animals from others, usually while in a paddock.",[none],,,Rural,Farm Words,[none],,,
cut out,,verb,3,"to spend all one's pay, a habit of rural workers on only occasional visits to town.",[none],,,Rural,Farm Words,[none],,,
cut out the bows,,phrase,,,[none],,,[none],,[none],,,
cut the cactus,,exclamation,,cut out the (your) nonsense (perhaps influenced by cut the cackle! shut up!).,[none],,,[none],,[none],,,
cut the cheese,,phrase,,to fart,[none],,,[none],,[none],,,"1951 14 M 14 St Bede's, Chch 5 GO AND DUST THE CHEESE (expressing annoyance, dismissal) 4. cut the cheese [nf P8] to fart."
cut the dust,,phrase,,[farm stock] to move fast in dry conditions.,[none],,,Rural,Farm Words,[none],,,
cut the rough,,phrase,,stop annoying one; (as excl.) cut it out,[none],,,[none],,[none],,,"CUT THE ROUGH, to stop doing something annoying (to the speaker); often as an exclamation `stop it!' -->ca1920 W.H.B.Orsman cut the rough used about WW1 P: cut the rough: cease doing or saying something obnoxious to another: Aust and NZ lower classes then military coll.: 20c."
cut up,,verb,2,,,,,[none],,[none],,,
cut up,,verb,3,`cut out' [?pun on whaling `cut'].,,,,[none],,[none],,,
cut up,,verb,4,,,,,[none],,[none],,,
