Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
sally up,,verb,,"berate, reprimand",[none],,,[none],,[none],,,also sally-up; ca1900 He sallied him about the way he treated his wife; also as a n or vbl n He gave her a sallying/sally-up.
sally up,,noun,,brisk reprimand,[none],,,[none],,[none],,,also sally-up
sally-bush,,noun,1,matagouri [mainly Central Otago],[none],,,Rural,Farm Words,[none],,,
sallyport,,noun,,,,,,[none],,[none],,,
salmon,1,noun,3,,,,,[none],,[none],,,
salmon,1,noun,2,"chinook salmon, found spawning in South Island rivers",,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,2,Gonorynchus gonorynchus =sandfish,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,,"New Zealand salmon, see KAHAWAI. (obsolesc) usu. with descriptive epithet MAORI, NATIVE, NEW ZEALAND salar, =KAHAWAI [cf AND <i>Arripis trutta </i> 1790 Collins (1798); salmon trout young of A <i> trutta or <i> A esper 1848 Tasmania]",,,,[none],,[none],,,
salmon,1,noun,2,Emmelichthys sp. =ROCKFISH,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon,1,noun,2,a local (? Dunedin) name for the introduced brown trout,,,,[none],,[none],,,
salmon,1,noun,2,,,,,[none],,[none],,,
salmon trout,,noun,,kahawai,[none],,,[none],,[none],also sea trout,,
salmon-herring,,noun,,,,,,[none],,[none],,,
salmon-ranching,,noun,,,[none],,,[none],,[none],cf. trout farm,,
saloon,,noun,,>a men's hairdessing establishment,,,,[none],,[none],,,
salp,,noun,,,,,,[none],,[none],,,
salt,1,verb,,to put a stop to,,,,[none],,[none],,,
salt block,,noun,1,a stock lick containing minerals vital to stock growth and health.,[none],,,Rural,Farm Words,[none],,,
salt,2,verb,,? assault,,,,[none],,[none],,,
salt,3,verb,,,,,,[none],,[none],,,
salt lick,,noun,1,a block of mineral salts vital to stock growth and health.,[none],,,Rural,Farm Words,[none],,,
salt mines,,noun,,Paremoremo workshop complex,[none],,,[none],,[none],,,
saltbox roof,,noun,,,[none],,,[none],,[none],,,
saltbush,,noun,,Atriplex sp.,,,,[none],,[none],,,
saltmarsh ribbonwood,,noun,,,[none],,,[none],,[none],,,"<i>Plagianthus divaricatus</i> aka shore ribbonwood, marsh ribbonwood, swamp ribbonwood"
saltwater creek,,noun,,,[none],,,[none],,[none],creek,,
saltwater river,,noun,,,[none],,,[none],,[none],,,
saltwort,,noun,,,,,,[none],,[none],,,
Salty Water,,noun,,a party drug,[none],,,[none],,[none],,,
salube,1,verb,2,,,,,[none],,[none],,,ca1938 (R. Mason)
salube,1,adjective,,,[none],,,[none],,[none],,,
salube,,noun,,a period of relaxation (in the sun),[none],,,[none],,[none],,,(Ruth Mason: from <i> salubrious</i>)
salubriate,,verb,,,[none],,,[none],,[none],,,
salubrious,,adjective,,,,,,[none],,[none],,,"a favourite Pascoe word, leading to salubrium"
salubrium,,noun,,,,,,[none],,[none],,,
salvage,,verb,,,[none],,,[none],,[none],,,
Salvarmy,1,noun,,,[none],,,[none],,[none],,,
Salvin's albatross,,noun,,.,[none],,,Environment,,[none],,,
Salvo,,noun,,Salvation Army,,,,[none],,[none],,,
Sam,2,noun,,a Black person,[none],,,[none],,[none],,,
Sam,,adjective,,American (?f. Uncle Sam),[none],,,[none],,[none],,,
sambar deer,,noun,,,[none],,,[none],,[none],,,
Sami/Sammy,1,noun,,a Samoan,[none],,,[none],,[none],-,,
sammie,,noun,,a sandwich,abbreviation,informal,,[none],,[none],,,
sammy,2,noun,,a trolley (often balancing) which can be used to shift heavy objects =SAMSON: (? trade name + Biblical strength),,,,[none],,[none],,,"ca1940 at least. [Used by men shifting a grand piano at Victoria University, Sept 1963. Applied to a small trolley about two feet long with a pair of centre-wheels, which was slid under the piano to take the weight. The men said the term had for years been commonly applied to all such balancing trolleys, and came originally from a brand-name <i>Sampson</i> of a particular kind of trolley.] -->ca1950 Ralph Wheeler Cradle with a series of bearers or rollers underneath to move heavy weights and objects; a dolly."
sammy,1,noun,,portsammy,,,,[none],,[none],,,
Sammy,,noun,,US soldier in WW1 (cf. Uncle Sam),[none],,,[none],,[none],,,
Samoan,,noun,,,[none],,,[none],,[none],,,
Samoan cricket,,noun,,,[none],,,[none],,[none],kilikiti,,see also Pacific cricket
Samoan Force,,noun,,,[none],historical,,[none],,[none],,,WW1
Samoan safety boots,,noun,,jandals,[none],,,[none],,[none],also Maori safety boots?,,
Samoan steroid,,noun,,taro,[none],,,[none],,[none],,,also Pacific steroid(s) 2002 below
samphire,,noun,,,[none],,,[none],,[none],also sand-fire,,
sampler biscuits,,noun,,a carton or tin of mixed biscuits by Griffin's,[none],,,[none],,[none],,,
samson,1,noun,2,a trolley for heavy objects,,,,[none],,[none],,,
samson,1,noun,,a device or method for raising a heavy weight,,,,[none],,[none],,,
samsonfish,,noun,,<i>Naucratopsis hippos</i> (Gunther),[none],,,[none],,[none],,,
sand biscuit,,noun,,sand dollar,[none],,,[none],,[none],sand dollar (or error for sea biscuit?),,
sand break,,noun,1,an eroded area of sandy hill country pastoral land [usually on sunny faces.],[none],,,Rural,Farm Words,[none],,,
sand convolvulus,,noun,,<i>Calystegia Soldanella. </i>,[none],,,[none],,[none],,,
sand cracker,,noun,,a firework,[none],,,[none],,[none],,,
sand daphne,,noun,,"<i>Pimelea arenaria</i>, an indigenous dune plant.",[none],,,[none],,[none],,,
sand diver,1,noun,,various members of a family of fish,,,,[none],,[none],,,
sand dollar,,noun,,a sea urchin,[none],,,[none],,[none],,,
sand flounder,,noun,,Rhombosolea plebeia,[none],,,[none],,[none],,,
sand lark,,noun,,(in early and Chathams reference) sand lark = ground lark.,[none],,,[none],,[none],,,
sand lark,,noun,,Anarhynchus frontalis Quoy et Gaim.,[none],,,[none],,[none],,,
sand plover,,noun,,= shore plover,[none],obsolete,,[none],,[none],,,"sand plover, kukuruatu"
sand primrose,1,noun,2,,[none],,,[none],,[none],,,
sand soap,,noun,,an abrasive soap for heavy-duty cleaning,[none],,,[none],,[none],,,
sand-fire,,noun,,samphire,[none],,,[none],,[none],,,
sand-happy,,adjective,,,[none],,,[none],,[none],-,,
sand-happyism,,noun,,,,,,[none],,[none],,,
sand-rubber,,noun,,"a sheep which rubs against banks and makes the wool dirty, thereby lessening its value",,,,[none],,[none],,,[R. Mason 1957: `Used by A.A. Urquhart of Erewhon run']
sand-washing,,noun,,,[none],,,[none],,[none],,,
Sandager's parrotfish,,noun,,,[none],,,[none],,[none],,,
Sandagers wrasse,,noun,,,[none],,,[none],,[none],,,
sandal,,noun,,"native sandal, paraerae (see also Amaori sandal)",,,,[none],,[none],,,
sandalwood,,noun,,maire,[none],,,[none],,[none],also Maori/native/New Zealand sandalwood,,
sandalwood,1,noun,2,"<i>Olearia Traversii</i>, ake ake",,,,[none],,[none],,,
sandbag duff,,noun,,,[none],,,[none],,[none],,,
sandbaggery,,noun,,,,,,[none],,[none],,,
sandbine,,noun,,"?=pohue [-bine, after wood-bine, or error for -bind?]",,,,[none],,[none],,,
sandcastle culture,,phrase,,,[none],,,[none],,[none],,,
sandfish,1,noun,2,,,,,[none],,[none],,,
sandfish,1,noun,3,,,,,[none],,[none],,,
sandfish,,noun,,,[none],,,[none],,[none],-,,
sandfly,,noun,,"Austrosimulium spp. (fam. Simuliidae), a common small black native fly",[none],,,[none],,[none],also namu,,
sandfly fever,,noun,,,[none],,,[none],,[none],,,
sandling,,noun,,"?=sandcod, =sandfish",,,,[none],,[none],,,
sandpaper,,verb,,,[none],,,[none],,[none],,,
sandpaper fish,,noun,,= (common) roughy,[none],,,[none],,[none],,,
sandpaper suit,,noun,,a school cadet uniform,[none],,,[none],,[none],,,
sandpiper,,noun,,,,,,[none],,[none],,,
sandshoe,,noun,,"the (usually) white canvas, rubber-soled shoe used in tennis and other sports; ?usu. tennis shoe (prob. replaced by <i>sneaker </i>etc",,,,[none],,[none],,,"ca1920 the usual word in Auckland, perhaps because of the number of beaches there. (R. Mason) -- ca1935 (Havelock) commonly used by older people"
sandshoed,,adjective,,,,,,[none],,[none],,,
sandsoap,,noun,,,,,,[none],,[none],,,
sandwich board cladding,,phrase,,,[none],,,[none],,[none],,,
sandwich generation,,phrase,,"the generation of NZers who are called upon to pay towards pensions for the past, present and future generations",[none],,,[none],,[none],,,"Used by financial commentator Murray Weatherstone on Kim Hill Show, radio NZ, 18/7/2001"
sandwich loaf,,noun,,"a large loaf, normally square, suitable for making sandwiches",[none],,,[none],,[none],,,
sandwich muncher,,noun,,,[none],,,[none],,[none],,,
sandwich short of a picnic,,phrase,,mentally challenged,[none],,,[none],,[none],,,
sandwort,,noun,,,,,,[none],,[none],,,
sandy back,,noun,,"a sheep with sand, grit, or dirt in the back wool",[none],,,[none],,[none],,,
sandy back,,noun,1,1. a sheep with fine sand and dirt in its wool [after rubbing in dirt or small stones.] 2. the fleece from such a sheep.,[none],,,Rural,Farm Words,[none],shivey back; seedy back,,
sandy backed,,adjective,1,[of sheep] with fine stones and sand rubbed into wool on their backs.,[none],,,Rural,Farm Words,[none],shingle-backed,,also sandy-backed
sandy blight/sand blight,,noun,,,[none],,,[none],,[none],-,-,
sandy country,,noun,1,farmland containing sandy soils that require careful pasture development and management to be productive.,[none],,,Rural,Farm Words,[none],,,
sandy hooker,,noun,,,[none],,,[none],,[none],,,
sandy hooker,,noun,2,a Nelsonian,[none],,,[none],,[none],,,
Sandy McNab,,noun,,an industrial scab; a blackleg,[none],,,[none],,[none],,,rhyming slang
sandy-hooker,,noun,1,"a musterer from the Nelson/Marlborough area, whose beat includes shingle and sandy outcrops.",[none],,,Rural,Farm Words,[none],,,
sanies,,noun,,[=? : ? misprint:?zanies; or (doubtfully) a Joycean word-play,[none],,,[none],,[none],,,
sanitary can,,noun,,,[none],,,[none],,[none],,,
Sante bar,,noun,,,[none],,,[none],,[none],,,"ca1935 Havelock (HWO), Taranaki (DEH)"
SANZAR,,abbreviation,,"South African, Australian, and New Zealand Rugby, administrative body for the Tri-Nations and Super 14 rugby union competitions.",acronym,,,[none],,[none],,,
Sao biscuit,,noun,,= Sao cracker q.v.,[none],,,[none],,[none],,,
