Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
RIANZ,,abbreviation,,Recording Industry Association of New Zealand,[none],,,[none],,[none],,,
RIB,,abbreviation,,Racing Industry Board,[none],,,[none],,[none],,,
rib,,verb,,?irk; ?annoy; go against the grain with; ? swindle,,,,[none],,[none],,,
ribaldo,,noun,,,,,,[none],,[none],,,
ribbandfish,,noun,,,,,,[none],,[none],,,
ribbon fish,,noun,,,[none],,,[none],,[none],,,"aka ribbon-fish, ribbonfish"
ribbon shopping,,noun,,,[none],,,[none],,[none],,,
ribbon tree,,noun,,occasional name for RIBBONWOOD (Andersen) =WHAUWHI,[none],,,[none],,[none],,,aka ribbon-tree; see also ribbon wood
ribbon-scrub,,noun,,occasional name for RIBBONWOOD (Andersen) <i>Plagianthus Lyallii</i>,,,,[none],,[none],,,
ribbonfish,,noun,2,,,,,[none],,[none],,,
ribbonfish,,noun,2,,,,,[none],,[none],,,
ribbonfish,,noun,2,,,,,[none],,[none],,,
ribbonfish,,noun,2,,,,,[none],,[none],,,
ribbonfish,,noun,2,,,,,[none],,[none],,,
ribbonfish,,noun,2,,,,,[none],,[none],,,
ribbons,,noun,,,,,,[none],,[none],,,
ribbonwood,,noun,5,,[none],,,[none],,[none],,,empty headwords and non-entries
ribbonwood,,noun,,<i>Hoheria papulnea </i>,[none],,,[none],,[none],,,"aka Lacebark. The tallest of three main ribbonwoods / lacebarks (12 metres), natural distribution just north half of north island."
ribbonwood,,noun,,"names given to plants with a fibrous, lace-like inner bark espec. <i>Hoheria</i>, and <i>Plagianthus</i> spp =HOUHERE, =WILD CHERRY, =LACEBARK, =MANATU, =THOUSAND-JACKET",[none],,,[none],,[none],"houhere, mountain ribbonwood, lowland ribbonwood, marsh ribbonwood, saltmarsh  ribbonwood et al",,"General; aka ribbon wood, ribbon-wood"
ribbonwood,,adjective,,,[none],,,[none],,[none],,,"attrib, eg ribbonwood trees"
ric,,noun,,ricochet,abbreviation,,,[none],,[none],,,
rice,,noun,,rice grass,,,,[none],,[none],,,
rice grass,,noun,,,[none],,,[none],,[none],.,,
rice rocket,,noun,,an Asian driver,[none],,,[none],,[none],,,
rice-paper,,noun,,"in NZ, a thin, easy-burning paper used in roll-your-own cigarettes (as distinct from the edible rice paper made from the pith of a small tree, a member of the ginseng family (CCR)",,,,[none],,[none],,,
rice-paper plant,,noun,,,,,,[none],,[none],,,"CC Ransom comments: a variety of ginseng. Dictionary of Gastronomy (Andre L. Simon and Robin Howe (Deitsch, London 1978) under `RICE-PAPER made from the pith of a ... tree and edible"
rice-plant,,noun,,,,,,[none],,[none],,,
Richard Cranium,,noun,,synonym for dickhead,[none],,,[none],,[none],,,
Richdale's diving petrel,,noun,,,[none],,,[none],,[none],,,
ricie,,noun,,a Japanese motorbike,,,,[none],,[none],,,
rick-ma-tick,,noun,,,,,,[none],,[none],,,
ricker,,noun,,a young kauri in the pole stage,,,,[none],,[none],,,(? forestry or sawmillers')
ricker,,noun,,,[none],,,[none],,[none],,,
ricker,,noun,,"a pole or spar cut from a long, slender tree-trunk; the trunk of such a tree; (occas ?) such a tree",,,,[none],,[none],,,"?d. Ed Fairburn Makaratanga 29 [cut] long, thin `Rickers' and made them into ladders. (Auckland bushmen's and forestry general) (occas. rika) a kauri sapling; a kauri-tree in the pole stage"
ridage,,noun,,,,,,[none],,[none],,,
riddling,,noun,,,[none],,,[none],,[none],,,
ride,2,verb,,"to loaf on, to let somebody do part of one's share of work. (cp CARRY)",,,,[none],,[none],,,ca1951 Foxton Freezing Works.
ride boundary,,phrase,,,[none],,,[none],,[none],boundary,,
ride,,verb,,"usu. ride in, sc. stock, esp. cattle",[none],,,[none],,[none],,,
ride one's hobnails,,phrase,,to walk,[none],,,Rural,Farm Words,[none],by hobnail express,,
ride out,,verb,,"to separate cattle in a mob, with the use of a stockhorse.",[none],,,Rural,Farm Words,[none],,,
ride round,,verb,,"to block or inspect stock, especially during lambing or calving.",[none],,,Rural,Farm Words,[none],,,
ride the block,,phrase,,[shepherding or lambing] to 'ride round' or inspect ewes and lambs.,[none],,,Rural,Farm Words,[none],,,
ride the gummy-gummies,,phrase,,"[cattle] to walk astride a small tree (thought to be Nothopanax colensoi), eat the particularly glossy, palatable leaves, and on finishing, leave it to spring back.",[none],,,Rural,Farm Words,[none],,,
ride the pine,,phrase,,to sit on the substitutes' bench,[none],,,Sport,,[none],,,
ride work,,phrase,,,,,,[none],,[none],,,
ridge fence,,noun,1,a fenceline on the outside of a ridge.,[none],,,Rural,Farm Words,[none],,,
ridge-board,,noun,,,,,,[none],,[none],,,
ridge-pole,,noun,,the head,[none],informal,,[none],,[none],,,
ridge-pole,1,noun,3,,,,,[none],,[none],,,
ridge-pole,1,noun,2,of a Maori meeting-house,,,,[none],,[none],,,
ridge-pole rafter,,noun,,praying mantis,,,,[none],,[none],,,
ridge-riding,,noun,,,[none],,,[none],,[none],,,
ridge-riding,,noun,,"the flying of an aircraft close to the top and one side of a ridge, in order to catch a lift or upwards draught.",[none],,,Rural,Farm Words,[none],,,
ridgeline,,noun,,,,,,[none],,[none],,,
ridgeline,,noun,1,[sp. use] the horizon of a grazing hill ridge.,[none],,,Rural,Farm Words,[none],,,
ridging-plough,,noun,1,"a plough, used in swampy areas, to raise ridges upon which plants can be established.",[none],,,Rural,Farm Words,[none],,,
