Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
haka,2,noun,,the word suggests today violent and noisy posture-dance (cf. A. 1896),,,,[none],,[none],,,
haka,2,noun,,,[none],,,[none],,[none],,,attrib.
haka,2,noun,,"in a debased form, often with meaningless Maori-looking words, and, esp. in Otago, English words and cries, a school or team form of noisy encouragement, or rally; often called `the school haka'.",,,,[none],,[none],,,ca 1900 -->eg Boomeranga! Boomeranga! ow-wow-wow!. -->(Apparently used in Australia in the same sense: -->May 1950 Austr. newsreel (West Austr; `Head of the River' Boat-race) `... college boys giving their war cries and hakas'
haka,2,noun,,,[none],,,[none],,[none],,,
haka,,noun,,a dance; a song (accompanying a dance),Maori,,,[none],,[none],,,
haka,,noun,2,,,,,[none],,[none],,,"not in Savage, though described 1807 p68 etc, not used in Elder Marsden p92 etc [war dance, only] (Griffiths Collection)."
haka party,,noun,,,,,,[none],,[none],,,[Also Weir House.]
haka'd out,,adjective,,,[none],,,[none],,[none],,,
haka-hating,,noun,,,[none],,,[none],,[none],,,
haka-style,,adjective,,in the manner of a haka,[none],,,[none],,[none],,,
haka-tormentor,,noun,,,[none],,,[none],,[none],,,
hakakao,,noun,,,,,,[none],,[none],,,
hakari,,noun,,"the feast after a ceremonial funeral or other important occasion; a feast, f. Maori: Williams: [Maori h&amacr.kari]",[none],,,[none],,[none],,,[Ma. <b>hakari</b> feast] cf. P.M. Ryan Dict. Modern Maori (1995) 42.
hake,,noun,,,,,,[none],,[none],,,"Cf Doug Gray's article on naming of new things on Cook's Voyages, see also Cloudy Bay cod, English hake, (southern) kingfish. Take in Young's note following:"
hake,,noun,,,[none],,,[none],,[none],,,
hake,,noun,2,"southern kingfish, titaki.",,,,[none],,[none],,,
hake,,noun,3,rock cod.,,,,[none],,[none],,,
hake,,noun,3,hake ?=Red cod [see Paul 791 Te ika A Maui 1855:413.,,,,[none],,[none],,,
hake,,noun,4,<i>Macruronus novaezealandiae</i> hoki.,,,,[none],,[none],,,
hake,,noun,4,"<i>Merluccius australis</i>, whiting",,,,[none],,[none],,,
hake,,noun,4,conger eel,,,,[none],,[none],,,
hake,,noun,4,"<i>Lotella rhacinus<i>, =rock-cod.",,,,[none],,[none],,,
hake,,noun,4,"<i>Macruronus novaezealandiae<i>, hoki.",,,,[none],,[none],,,
hakea,,noun,,"an Aust. plant genus of the fam. Proteaceae, often erron. thought to be named from maori.",,,,[none],,[none],,,
hakea,,noun,1,[found elsewhere but sign. to NZ pastoralism] a scrubby non-native weed that establishes itself readily in newly cleared areas.,[none],,,Rural,Farm Words,[none],,,
hakeka,,noun,,"[Ma. /hakeka/ W.31 Hakeka =keka, hakeke, n.] Hirneola auricula-judea, see jew's ear fungus. Also called hakeke.",Maori,,,[none],,[none],,,
hakekaro,,noun,,,,,,[none],,[none],,,
hakeke,,noun,,,,,,[none],,[none],,,
hakihaki,,noun,,,,,,[none],,[none],,,
hako,,noun,,,,,,[none],,[none],,,Is this hake or hoka (red cod).
hakoakoa,,noun,,applied to various muttonbirds (shearwaters) (qq.v.) <i>Puffinus</i> spp.; and esp. to the southern skua.,,,,[none],,[none],,,
hakoke,,noun,,,,,,[none],,[none],,,
haku,,noun,,,,,,[none],,[none],kingfish,,
hakuai,,noun,,,,,,[none],,[none],hakuwai,,
hakuakua,,noun,,,,,,[none],,[none],hakoakoa,,
hakuwai,,noun,,"A Maori legendary bird, said to be heard at night but never seen. (Suggested originals include frigate bird, Haast's eagle; the most probable being Miskelly below, i.e. NZ snipe in display flights.) See also hokioi.",,,,[none],,[none],,,19?? Miskelly in Notornis 34 get cit
half a bar,,noun,,,[none],,,[none],,[none],,,
half a bull,,noun,,,[none],,,[none],,[none],bull,,
half a caser,,noun,,,[none],,,[none],,[none],half-caser,,
half a dollar,,noun,,,[none],,,[none],,[none],half-dollar,,(obs.)
half a dollar,,noun,2,fifty cents,[none],,,[none],,[none],,,"Since the introduction of decimal coinage, fifty cents or a fifty-cent piece."
half a hundred,,noun,,,[none],,,[none],,[none],,,
half a mo,,phrase,,(wait) a moment,[none],,,[none],,[none],,,"-->1953 16 M A30 Thames DHS 15 HALF A MO -->1953 17 M A39 Thames DHS 15 HALF A MO -->1984 16 F E26 Pakuranga Coll. 15 HALF A MO -->1951 14 M 10 Wellington H.S. 15 HALF A MO -->1951 14 M 14 St Bede's, Chch 15 HALF A MO -->1960 16C F B1 Nelson Girls C. 15 HALF A MO; also half a shake (q.v.), half a sec, half a tick"
half a nicker,,noun,,,[none],,,[none],,[none],,,
half a note,,noun,,,[none],,,[none],,[none],,,
half a quid,,noun,,ten-shillings; a ten-shilling note.,[none],,,[none],,[none],,,"1950 frequently noticed in bars etc among betters or punters (slang); often, but not always, humorous use"
