Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
waiariki,,noun,,a warm thermal spring or pool,Maori,,,[none],,[none],,,
waiata,,noun,,a (Maori) song,Maori,,,[none],,[none],,,
waiatua,,noun,,,[none],,,[none],,[none],waiuatua,,
Waiau doze,,noun,1,an illthrift disease of unknown origin in sheep.,[none],,,Rural,Farm Words,[none],,,
Waiauan,,adjective,,-,[none],,,Geology,Geology,[none],,,rock classification
Waiautoa forget-me-not,,noun,,"an endangered indigenous plant, Myosotis laingii",[none],,,Environment,,[none],,,
Waiberia,,noun,,,[none],,,[none],,[none],,,
Waiderippa,,noun,,the Wairarapa,[none],,,[none],,[none],Wydrop,,
waihena,,noun,,,,,,[none],,[none],,,
Waihi disease,,noun,,"an osteo-malacia disease in cattle, caused by nutritional deficiency.",[none],,,[none],,[none],,,
waihina,,noun,,,,,,[none],,[none],wahine,,
waihupuku,,noun,,?=waiu[u]-puku ?milk-plant - nf Williams; cf WAIU-ATUA and possibly HUREPO --,,,,[none],,[none],,,
waikaka,,noun,,a fish,,,,[none],,[none],,,
Waikato,,noun,,,,,,[none],,[none],,,
Waikato Children's Camp League,,noun,,an early member of the Health Camp organisation,[none],,,[none],,[none],,,
Waikato coal,,noun,,,[none],,,[none],,[none],,,
Waikato Confederation,,noun,,,[none],,,[none],,[none],,,
Waikato dandruff,,noun,1,a growth of flowering weeds in pasture.,[none],,,Rural,Farm Words,[none],,,
Waikato scone,,noun,,,[none],,,[none],,[none],,,
Waikato twang,,noun,,,[none],,,[none],,[none],,,"cf. Taranaki, rural or farming image or connotaton"
Waikato war,,noun,,,[none],,,[none],,[none],,,
Waikatos,,noun,,,,,,[none],,[none],,,
Waikikamukau,,noun,,"an imaginary New Zealand placename, or town, parodying the form of Maori placenames; see also (cf. WAIWHARE, WAIWORRI)",[none],,,[none],,[none],,,Fictitious Maori name (jocular)
Waikuku limestone,,noun,,Geol. classification,[none],,,[none],Geology,[none],,,
waikukupera,,noun,,freshwater kokopu,,,,[none],,[none],,,
waikurupopo,,noun,,,,,,[none],,[none],,,
wailenga,,noun,,,,,,[none],,[none],waerenga,,
Waimihia Ash,,noun,,Geol. definition,[none],,,[none],Geology,[none],,,
Waimihia Lapilli,,noun,,Geol. classification,[none],,,[none],Geology,[none],,,
waina,,noun,1,a variety of kumara.,Maori,,,[none],Farm Words,[none],,,
Waingaro schist,,noun,,Geol. definition,[none],,,[none],Geology,[none],,,
Wainui siltstone,,noun,,Geol. definition,[none],,,[none],Geology,[none],,,
Wainuiomartian,,noun,,resident of Wainuiomata,[none],,,[none],,[none],,,
Waiohine gravel,,noun,,Geol. classification,[none],,,[none],Geology,[none],,,
waiora,,noun,,"health, soundness",Maori,,,[none],,[none],,,
Waioriki poisoning,,noun,1,an effect suffered by stock from eating the Waioriki buttercup.,,,,[none],Farm Words,[none],,,
Waiouru blonde,,noun,1,a sheep.,[none],,,Rural,Farm Words,[none],,,
Waiouru blonde,,noun,,a sheep (near army training quarters),[none],,,[none],,[none],shepherd's grummet,,
Waiouru limp,,noun,,,[none],,,[none],,[none],,,
waipera,,noun,,,,,,[none],,[none],waipiro,,
waiperou,,noun,,,,,,[none],,[none],waipiro,,
Waipipian,,adjective,,rock classification,[none],,,[none],Geology,[none],,,
waipirau,,noun,,,,,,[none],,[none],waipiro,,
waipiro,,noun,,"alcohol, from Maori 'stinking water'; of common use in shearing and mustering.",Maori,,,[none],Farm Words,[none],,,
waipiro,,noun,,"liquor, esp. spirits; grog",,,,[none],,[none],,,
waipiro,,noun,2,"liquor, grog",[none],,,[none],,[none],,,"incl attrib; ca1952 Wellington Hotel Try the old waipiro - can't beat it. ca1951 H.S. Gajadhar, Wellington p.c. Plenty of waipiro there, no need to take any"
waipiro-laden,,adjective,,,,,,[none],,[none],,,
waiporou,,noun,,,,,,[none],,[none],waipiro,,
Wairakeite,,noun,,,[none],,,Geology,Geology,[none],,,"misspelling (in source or not) of Wairakite q.v. [yes, as in source. JB]"
Wairakite,,noun,,zeolite mineral found in the Wairakei area,[none],,,[none],Geology,[none],,,listed in OED with attrib. to Steiner
wairangi,,noun,,"a New Zealand-bred cultivar of dwarf rape, a brassica forage crop.",Maori,,,[none],Farm Words,[none],,,
wairangi,,adjective,,"foolish, witless",Maori,,,[none],,[none],,,Williams sense 2
wairangi,,noun,,,,,,[none],,[none],,,
Wairarapa death,,noun,,,[none],,,[none],,[none],cf. New Zealand death,,
wairau,,noun,,a New Zealand-bred cultivar of lucerne (Medicago sativa).,Maori,,,Rural,Farm Words,[none],,,
Wairau affair,,noun,,,[none],,,[none],,[none],,,
Wairau affray,,noun,,,[none],,,[none],,[none],,,?a contemporary `missionary' term
Wairau massacre,,noun,,,[none],,,[none],,[none],,,
waireka,,noun,,,,,,[none],,[none],,,
wairenga,,noun,,,,,,[none],,[none],waerenga,,
wairepo,,noun,,,[none],,,[none],,[none],whai repo,,
wairua,,noun,,spirit or spirituality,,,,[none],,[none],,,
wairua tautoko,,phrase,,,Maori,,,[none],,[none],,,
wairuru,,noun,,,,,,[none],,[none],,,
wait for a death,,phrase,,(of shearers) to wait for a man to be sacked so as to get his job,[none],obsolete,,[none],,[none],-,,also as waiting (verbal noun) for a death
wait for it,,exclamation,,rugby commentator Winston McCarthy's cry in anticipation of a kick succeeding,[none],,,[none],,[none],,,
wait gang,,noun,,the waitstaff at a restaurant,[none],informal,,[none],,[none],-,,
wait on,,verb,,"(as command) wait, hang on",[none],,,[none],,[none],,,[CC Ransom notes: I find wait on as a substitute for wait for at least as common here as in the US.
wait woman,,noun,,politically correct name for a waitress,[none],,,[none],,[none],-,,
wait-a-bit,,noun,,"Rubus cissioides (formerly <i> R. australis </i>), bush lawyer",[none],,,[none],,[none],,,"cf. WAIT-A-WHILE: Morris <i> wait-a-while <I/> , an Australian thicket tree. cf. stay-a-bit"
wait-a-minute,,noun,,,,,,[none],,[none],,,
wait-a-while,1,noun,,"a creeper, taihoa",,,,[none],,[none],also stay-a-bit,,
wait-a-while,2,noun,,,,,,[none],,[none],,,
wait-a-while,,noun,,"<i>Cassytha paniculata</i>, a parasite on manuka",[none],,,[none],,[none],,,
wait-mate,,noun,,waiter/waitress,[none],,,[none],,[none],,,
wait-pixie,,noun,,,[none],,,[none],,[none],wait-sprite,,
wait-sprite,,noun,,female waitperson,[none],,,[none],,[none],wait-pixie,,
Waitaha,,noun,,supposed pre-Maori inhabitants of NZ,Maori,,,[none],,[none],,,also the Maori name for Canterbury
Waitaha/Waitaha penguin,,noun,,"a yellow-eyed penguin, extinct since about 1300-1500AD",Maori,,,[none],,[none],,,<i>Megadyptes waitaha</i>
Waitakian,,adjective,,Geol. classification,[none],,,[none],Geology,[none],,,
Waitangi Day,,noun,,"6 February, a public holiday commemorating the signing of the Treaty of Waitangi in 1840",[none],,,[none],,[none],,,
Waitangi industry,,noun,,= Treaty industry,[none],,,[none],,[none],,,
Waitangi Treaty,,noun,,,[none],,,[none],,[none],,,
Waitangi Tribunal,,noun,,,[none],,,[none],,[none],,,
waitangy,,noun,1,a New Zealand-bred cultivar of potato.,,,,[none],Farm Words,[none],,,
Waitara Purchase,,noun,,,[none],,,[none],,[none],,,
Waite's shark,,noun,,,[none],,,[none],,[none],,,"aka Plunket shark; 2 listings, no citations"
Waitemata,,adjective,,Geol. definition,[none],,,[none],Geology,[none],,,
waiting person,,noun,,restaurant waitperson,[none],,,[none],,[none],-,,
waiting-shed,,noun,,a bus shelter,[none],,,[none],,[none],,,
Waitohi Dew,,noun,,illegally distilled whisky.,[none],,,[none],Farm Words,[none],-,,
waitoreke,,noun,,,,,,[none],,[none],,,
Waitotarian,,adjective,,rock classification,[none],,,[none],Geology,[none],,,
waitwoman,,noun,,a female waiter,blend,,,[none],,[none],,,
waiuatua,,noun,,Rhabdothamnus sp.,,,,[none],,[none],,,
waiuatua,,noun,,,,,,[none],,[none],,,
waiuatua,,noun,3,milkwood,,,,[none],,[none],,,
Waiuku Flyer,,noun,,,[none],,,[none],,[none],,,
waiwai-roa,,noun,,,,,,[none],,[none],,,
waiwaikoko,,noun,,,[none],,,[none],,[none],waewaekoukou,,
waiwaka,,noun,,[=?] not kaiwaka ?? nf Williams ho;,,,,[none],,[none],,,
waiwaka,,noun,1,[Ma.] a native timber used as blocks for woodchopping contests.,,,,[none],Farm Words,[none],,,
waiwatua,,noun,,,[none],,,[none],,[none],waiuatua,,
Waiwhare,,noun,,as an apocryphal name cf Waikikamukau,,,,[none],,[none],,,
Waiworri,,noun,,as an apocryphal name cf Waikikamukau,,,,[none],,[none],,,
waka,,noun,,"metaphorical usage, a vehicle",Maori,,,[none],,[none],,,
