Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
yacker/yakker,1968,NZ Contemp. Dict. Suppl. (Collins),,22,,yakka ... n. hard work [Abo].,
yacker/yakker,1986,NZ Pocket Oxford Dictionary,,893,,yakka n. NZ & Austral. colloq. work. [Abor.],cf. 1982 Collins Concise Eng. Dict. 1369
yacker/yakker,"Sep 18, 2001",Listener (New Zealand Listener),,56,,Well my dad calls me a slacker / but in fact / if the pay's right I'll do a hard day's yacker.,
yacker/yakker,1964,Any Old Dollars Mister?,HARVEY,114,,We all yakkered away about the Yanks for some time and then the CHECK REST OF CITATION,
yacker/yakker,1981,Goat Paddock,HOOPER,7,,I was feeling good ... so Noeline and me thought we'd go round to Day's Bay and swim ... yacker all the day.,
yacker/yakker,1986,Shooting Through,TAYLOR,16,,She'd like another Maori around the place to yakker away to.,
yacker/yakker,"Oct 14, 1920",Grey River Argus,,6,,In the opening scenes Old Dad Rudd and his eldest son Dave are yackering away in the distant solitude of the bush clearing the timber and erecting a rough hut for Mrs Rudd and her family to occupy.,
yacketing,1978,Soldier Country,HENDERSON,125,,"We finally persuaded them, after much hard yacketing, to give us just a quarter-of-an-hour in our direction.",
yackety-yak,1964,Watersiders,DAVIS,111,,... I'll tell you then - if only to give myself the satisfaction of not having to listen to your yakkety-yak for five minutes.,
yackety-yak,1962,Look No Hands!,WEBBER,113,,That's [sc at home] where the final yakkety-yak sessions take place and it's the final yakkety-yak sessions that settle the voting.',
yackety-yak,"Sep 18, 2001",Listener (New Zealand Listener),,30,,"Became a dairy farmer because Audrey couldn't hack the town and the yackety-yack over the fence, so right, it was up to the Waikato.",
yah yah,"Jan 27, 1934","Press, The",,15,,*Yah yah.-An Englishman with an exaggerated accent. I have heard them spoken of as Haw haw fellows,
yahoo,"Jun 10, 2004",Wellingtonian,,5,,"For the wriggling children there are plans for an outdoor playground ""so the kids can just yahoo"" and spaces for youth groups and a kids' club.",
yahoo,1975,NZ Rugby Greats,HOWITT,110,,The [Canterbury] crowd yahoo-ed when I put the ball down on halfway.,
yahoo,1986,Radio NZ / National Radio,,`Morning Report' 2YA : 7.58 a.m.,,"[A champion oyster opener at Invercargill contrasts an attempt at the oyster opening record held the previous night at a hotel with a proposed attempt at the record to be held in an oyster-opening shed] No one hasslin' ya, no one yahooin' ya - ya know what I mean?",
yahoo,1980,"Personal Kiwi-Yankee Dictionary, A",LELAND,115,,"yahoo: ... Well, a yahoo is a LOUT, and to `yahoo around' is to nothing constructive noisily.",
yahoo,1989,Chosen Place,,5,,"Yahooing for joy as the `cat' gave a slight shudder, he pulled the tiller towards him, sending the craft skimming across the sheltered lagoon waters",
yahoo about/around,1985,Botanist at Bay,SHERWOOD,27,,"He [a politician] tried to add something about the need to `think big' and plan for industrial development, but the youngsters set up a massive shout of `hypocrite' ... Thornhill replied by calling them yobbos and warning them that they would be chucked out of the meeting unless they stopped yahooing about.",
yahoo,1985,"Grand Limerick Tour, A",BENTLEY & FRASER,[No.] 56,,"It's Fair Day at Mangatainoka,/ What's the guts for your average joker?/ Pitching possums is big,/ There's calf roping, greased pig,/ And a yahoo, with untold strip poker.",
yahoo,"Jun 10, 1876",Marlborough Express,,7,,"The clothes we wear cost money, and I call upon every storekeeper in Blenheim to prove dishonesty against us up-country yahoos.",
yahoo,"May 14, 1886",NZ Tablet,,19,,"The most brilliant orator in the House, excepting alone the venerable Premier, is one of ""the Yahoos who follow Mr. Parnell.""",
