Head Word,HomonymNumber,WordClass,SenseNumber,Definition,Origin,Register,Register2,Domain,Flag,Region,See,Pronunciation,Notes
off one's dot,,phrase,,"on model OFF ONE'S HEAD, indicating madness, drunkenness, or under the influence of drugs",[none],,,[none],,[none],,,(obsolescent)
off one's nana,,phrase,,,[none],,,[none],,[none],,,
off one's pannikin,,phrase,,"off one's head, crazy",[none],,,[none],,[none],,,
off the blades,,phrase,1,[sheep] newly shorn.,[none],,,Rural,Farm Words,[none],,,
off the books,,phrase,1,"[ farm stock] purchased unseen, solely from description.",[none],,,Rural,Farm Words,[none],,,
off the chain,,noun,2,"out on the loose for the evening, on the loose (temporarily, esp. from wife), free from restraint.",[none],,,[none],,[none],,,1947 only[???]
off the forks,,phrase,1,"[potatoes] purchased unseen, directly from harvest.",[none],,,Rural,Farm Words,[none],,,
off the hill,,phrase,,[high country] used with reference to the completion of a mustering beat or a return to the station.,[none],,,Rural,Farm Words,[none],,,
off the hook(s),,phrase,,"(of clothes and occas. other articles), ready-made, off the peg",[none],,,[none],,[none],,,ca1938 eg I walked in and bought a suit straight off the hooks
off the pine,,phrase,,off the reserves bench,,,,[none],,[none],,,
off the shears,,phrase,1,[sheep] newly shorn.,[none],,,Rural,Farm Words,[none],off the blades,,
off the spurs,,phrase,,[mustering] having completed a job or not working.,[none],,,Rural,Farm Words,[none],,,
off the turnips,,phrase,,from the countryside,[none],derogatory,,Rural,Farm Words,[none],,,
off the wool,,phrase,,= off the shears; newly shorn,[none],,,[none],,[none],,,
off-bullock,,noun,,,[none],,,[none],,[none],,,cf. cit. at LEADER
off-course substitute,,noun,,,[none],,,[none],,[none],,,horse racing 195? R.Mason (fide N.M. Adams) When a bettor through the T.A.B. bets on a double and the horse on the second leg of the double is scratched after the bet is laid the favourite at the tote on the course is substituted in the bet for the scratched horse. This substituted horse is an `off course substitute'
off-farm,,adverb,,off the farm,,,,[none],,[none],,,
off-graze,,verb,,to graze stock off a property when feed is low.,[none],,,Rural,Farm Words,[none],,,
off-paddock,,adjective,,[of stock ] on stand-off or wintering pads.,[none],,,Rural,Farm Words,[none],,,
off-season,,noun,,"In NZ various specific applications espec. farming) freezing works (opposed to killing season), ? oyster dredging, as distinct from close(d) season",,,,[none],,[none],,,[Is this entry necessary?]
off-shears,,adjective,,of sheep newly-shorn,,,,[none],,[none],,,auctioneers'
off-sort,,noun,,"a fleece which, when classed or graded, does not fit the established lines and is binned",,,,[none],,[none],,,woolgrowers'
office,,noun,1,"[high country] a small patch of grass on a ledge, barely accessible to stock.",[none],,,Rural,Farm Words,[none],,,
office,,noun,2,to give a warning (signal),,,,[none],,[none],,,(obs criminal slang)
office,1,noun,,,,,,[none],,[none],,,
Office of Treaty Settlements,,noun,,,[none],,,[none],,[none],,,
Official Assignee,,noun,,"a state official who holds and administers the property of bankrupts, and in some cases acts as the liquidator of insolvent companies.",[none],,,[none],,[none],,,"Insolvency Act 1967, s.15"
Official Cash Rate,,noun,,,[none],,,[none],,[none],,,
offside,,adjective,,"of a bullock, the right-hand side facing the front",,,,[none],,[none],,,
offside,,verb,1,to work the offsiders in a bullock team.,[none],,,Rural,Farm Words,[none],,,
Offside Mac,,noun,,"nickname of H.J. McKenzie, a prominent rugby footballer",[none],,,[none],,[none],,,
offside with,,phrase,,"on the wrong side of, in bad with",[none],,,[none],,[none],,,"OED no transf uses, only literal sporting, from Assoc. Football; so W3: nf P. [NZ use coloured by Rugby Union"
offsider,,noun,2,,,,,[none],,[none],slushy,,
offsider,,noun,3,"an assistant, `side-kick', crony, a partner, friend",,,,[none],,[none],,,
offsider,,noun,,,,,,[none],,[none],,,
offsider,,noun,,,,,,[none],,[none],,,
offsider,,noun,1,[sp. use] an assistant to a station or shearing gang cook.,[none],,,Rural,Farm Words,[none],,,
offspur,,noun,,,,,,[none],,[none],,,
ogg,,noun,,a shilling (piece) (often two ogg] (cf HOGG),,,,[none],,[none],,,obs
Oh One,,noun,,a skinhead,[none],,,[none],,[none],,,
oha,,noun,,,,,,[none],,[none],,,1861 Richmond-Atkinson Papers 1/719 1928 Baucke W M T 272
Ohakune carrot,,noun,,,[none],,,[none],,[none],,,
ohau,,noun,,"<i>Schefflera digitata</i>, five-finger",,,,[none],,[none],,,
Ohauan,,adjective,,,[none],,,Geology,Geology,[none],,,
Ohika Beds,,noun,,Geol definition,[none],,,[none],Geology,[none],,,
OHMS,,abbreviation,,Organisation to Halt Military Service,acronym,historical,,[none],,[none],,,1972
oho,,noun,,,,,,[none],,[none],,,
ohoeka,,noun,,,[none],,,[none],,[none],,,
ohoho,,noun,1,"[Ma.] a nectar-bearing native tree or bush, valued by early apiarists [poss. ongaonga, Urticaceae.]",[none],,,Rural,Farm Words,[none],,,
ohu,,noun,1,a working bee.,[none],,,Rural,Farm Words,[none],,,
ohu,,noun,,"a government-sponsored rural commune, usually on marginal land.",[none],,,Rural,Farm Words,[none],,,
ohu,,noun,,,[none],,,[none],,[none],,,
ohu,,noun,,"formerly, a state-sponsored, rural commune. -->a kibbutz-type of landed-community introduced by the Labour Government in the 1970s; a communal work group",Maori,,,[none],,[none],,,
oi,,noun,,,,,,[none],,[none],muttonbird (1947),,
oia,,noun,,"<i>Caesioperca lepidoptera</i>, red perch,",,,,[none],,[none],butterfly perch,,
OIA,,abbreviation,,Official Information Act,[none],,,[none],,[none],,,
OIA it,,verb,,to apply for information under the Official Information Act,,,,[none],,[none],,,"Hear on Kim Hill, 29/1/2001, used by Jenny Shipley. ""We've OIAed it""."
OIC,,abbreviation,,Overseas Investment Commission,[none],,,[none],,[none],,,
oii,,noun,,<i>Procellaria gouldi.</i>,[none],,,[none],,[none],,,variant of OI
oil,,noun,2,the real truth,,,,[none],,[none],,,
oil drum stew,,noun,,,[none],,,[none],,[none],,,
oil,,noun,,"(informal) useful information, the truth; somebody or something excellent in its class; the real thing.",,,,[none],,[none],,,1961 Stage I University Student's Essay : She's the oil
oil,,noun,2,,,,,[none],,[none],,,
oil,,noun,2,,,,,[none],,[none],,,
oil fish,,noun,,,[none],,,[none],,[none],,,
oil pad,,noun,,,[none],,,[none],,[none],,,
oil trade,,noun,,,[none],,,[none],,[none],,,(is OIL a shortening of TRAIN OIL (cf 247 trying out) or WHALE OIL)
oil-cask,,noun,,,,,,[none],,[none],,,
oiled,,adjective,,"drunk, tipsy; esp. (?only) WELL=OILED, drunk, tipsy [cf AND OIL v1 to gratify one's taste for liquor 1898] (check WELL-) -",,,,[none],,[none],,,->ca1940 Havelock
oiler,,noun,1,an oilskin coat.,[none],,,Rural,Farm Words,[none],,,
oilfish,,noun,,,,,,[none],,[none],,,
oilskin man,,noun,1,"[shepherding/mustering] an enthusiast of the oilskin coat, who will flap it to coax slow sheep.",[none],,,Rural,Farm Words,[none],coat-flapper,,
oinker,,noun,,a policeman,,,,[none],,[none],,,
oinkering,,noun,,"policing, detective work",[none],,,[none],,[none],,,
oioi,,noun,,"a jointed wire rush plant, Apodasmia similis.",Maori,,,Environment,,[none],,,Formerly classified Leptocarpus similus
OK,,adjective,,"as an adjective attested early in NZ (1865, Dunedin) and has remained a common feature of NZ speech; also in various forms espec. among children (OKE, OKIE, OKIE-DOKIE, OKIE-DOKE, DOKE). `She'll be doke' would be more likely to be heard than `She'll be OK.', as a by-form of `She'll be right'. spg also okay",,,,[none],,[none],,,
OK,,noun,2,just the thing,,,,[none],,[none],,,
oka,,noun,,,,,,[none],,[none],oca,,
okarari,,noun,,<i>Coryphaenoides novae zealandiae </i>,,,,[none],,[none],,,
Okareka Ash,,noun,,Geol. definition,[none],,,[none],Geology,[none],,,
Okarito brown kiwi,,noun,,,[none],,,[none],,[none],,,
Okarito forest gecko,,noun,,"brownish gecko with orange blotches, seldom encountered, restricted to small area in south Westland.",[none],,,[none],,[none],,,"<i>Hoplodactylus ""Okarito forest gecko""</i> aka Okarito gecko"
Okataina Tephra,,noun,,Geol. definition,[none],,,[none],Geology,[none],,,
"okay, lah",,exclamation,,,[none],,,[none],,[none],,,
okeoke,,noun,,dogfish,,,,[none],,[none],,,
old,,adjective,3,"as THE OLD expressing familiar use of,",,,,[none],,[none],,,
